AsofDate,CUSIP,SectorCode,Strategy,MarketValue,EffectiveDuration,OptionAdjustedSpread,LegalEntity,PortfolioTicker,OwnershipType,PercentWeight
2024-01-04,91282CFV8,Peaches,Paris,17042127.40,8.809704,3.81681,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CFV8,Peaches,Paris,17042127.40,8.809704,3.81681,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CEV9,Peaches,Paris,6743085.93,5.95656,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CEV9,Peaches,Paris,6743085.93,5.95656,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CFT3,Peaches,Paris,12553750.93,6.138696,0.12888,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CFT3,Peaches,Paris,12553750.93,6.138696,0.12888,GEA_BM,NEABMLCWF,Active,1
2024-01-04,ZXW2J9PF8,Pineapples,Paris,2287540.51,2.80962,36.01908,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,ZXW2J9PF8,Pineapples,Paris,2287540.51,2.80962,36.01908,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CGC9,Peaches,Paris,7935307.75,4.391112,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CGC9,Peaches,Paris,7935307.75,4.391112,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,ZRW7M2C57,Apples,Paris,271606.12,0.1264104,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,ZRW7M2C57,Apples,Paris,271606.12,0.1264104,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CHT1,Peaches,Paris,2815036.69,9.407856,2.81493,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CHT1,Peaches,Paris,2815036.69,9.407856,2.81493,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CJQ5,Peaches,Paris,3449302.89,7.302708,0.1071,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CJQ5,Peaches,Paris,3449302.89,7.302708,0.1071,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CHM6,Peaches,Paris,27116442.12,2.781768,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CHM6,Peaches,Paris,27116442.12,2.781768,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CHW4,Peaches,Paris,10717973.25,6.846636,0.47997,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CHW4,Peaches,Paris,10717973.25,6.846636,0.47997,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CHV6,Peaches,Paris,7388727.28,1.863996,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CHV6,Peaches,Paris,7388727.28,1.863996,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CJP7,Peaches,Paris,8472273.57,3.280572,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CJP7,Peaches,Paris,8472273.57,3.280572,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,USD_CCXSH,Apples,Paris,0.01,0,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,USD_CCXSH,Apples,Paris,0.01,0,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CFJ5,Peaches,Paris,25701336.54,6.070752,0.21456,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CFJ5,Peaches,Paris,25701336.54,6.070752,0.21456,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CHU8,Peaches,Paris,3714821.53,2.892528,0,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CHU8,Peaches,Paris,3714821.53,2.892528,0,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CGM7,Peaches,Paris,6486912.36,9.1224,3.59721,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CGM7,Peaches,Paris,6486912.36,9.1224,3.59721,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CFK2,Peaches,Paris,4523996.09,1.9299,0.41751,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CFK2,Peaches,Paris,4523996.09,1.9299,0.41751,GEA_BM,NEABMLCWF,Active,1
2024-01-04,91282CGS4,Peaches,Paris,9406929.68,6.566652,0.76185,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,91282CGS4,Peaches,Paris,9406929.68,6.566652,0.76185,GEA_BM,NEABMLCWF,Active,1
2024-01-04,ZXW2LZMF0,Pineapples,Paris,7537683.69,5.007588,57.26709,GEA_BM,NEABMLCWF,Passive,1
2024-01-04,ZXW2LZMF0,Pineapples,Paris,7537683.69,5.007588,57.26709,GEA_BM,NEABMLCWF,Active,1
2024-01-04,3133XFJ49,Pineapples,Paris,1661276.86,10.595064,55.44558,GEA_BM,NEABMNCIM,Active,1
2024-01-04,3133XFJ49,Pineapples,Paris,1661276.86,10.595064,55.44558,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZXY14EVW9,Apples,Paris,494478.85,0.092088,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZXY14EVW9,Apples,Paris,494478.85,0.092088,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CFV8,Peaches,Paris,3550443.21,8.809704,3.81681,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CFV8,Peaches,Paris,3550443.21,8.809704,3.81681,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,3133EMSX1,Pineapples,Paris,1254025.92,7.425816,36.33939,GEA_BM,NEABMNCIM,Active,1
2024-01-04,3133EMSX1,Pineapples,Paris,1254025.92,7.425816,36.33939,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,3130XLED2,Pineapples,Paris,3401052.64,3.576264,18.74439,GEA_BM,NEABMNCIM,Active,1
2024-01-04,3130XLED2,Pineapples,Paris,3401052.64,3.576264,18.74439,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,459058JS3,Lemons,Paris,275575.75,2.445768,49.36734,GEA_BM,NEABMNCIM,Active,1
2024-01-04,459058JS3,Lemons,Paris,275575.75,2.445768,49.36734,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,9128283W8,Peaches,Paris,1211891.88,4.554096,1.36422,GEA_BM,NEABMNCIM,Active,1
2024-01-04,9128283W8,Peaches,Paris,1211891.88,4.554096,1.36422,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CCS8,Peaches,Paris,578493.89,8.4726,1.46718,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CCS8,Peaches,Paris,578493.89,8.4726,1.46718,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZXW2G7229,Lemons,Paris,602163.69,0.189888,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZXW2G7229,Lemons,Paris,602163.69,0.189888,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CCV1,Peaches,Paris,4323959.74,5.318784,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CCV1,Peaches,Paris,4323959.74,5.318784,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CHF1,Peaches,Paris,2076738.09,6.740268,0.69471,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CHF1,Peaches,Paris,2076738.09,6.740268,0.69471,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZXW2J9PF8,Pineapples,Paris,2287540.51,2.80962,36.01908,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZXW2J9PF8,Pineapples,Paris,2287540.51,2.80962,36.01908,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZXW2L2H10,Pineapples,Paris,2301377.14,1.839408,70.91073,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZXW2L2H10,Pineapples,Paris,2301377.14,1.839408,70.91073,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZRW7M2C57,Apples,Paris,494478.83,0.1264104,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZRW7M2C57,Apples,Paris,494478.83,0.1264104,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CEM9,Peaches,Paris,11985971.75,5.803752,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CEM9,Peaches,Paris,11985971.75,5.803752,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CDY4,Peaches,Paris,3132749.19,8.770236,3.45933,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CDY4,Peaches,Paris,3132749.19,8.770236,3.45933,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,ZXW2Q7VN0,Lemons,Paris,634698.59,9.128916,77.42592,GEA_BM,NEABMNCIM,Active,1
2024-01-04,ZXW2Q7VN0,Lemons,Paris,634698.59,9.128916,77.42592,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CHW4,Peaches,Paris,4573001.92,6.846636,0.47997,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CHW4,Peaches,Paris,4573001.92,6.846636,0.47997,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CCY5,Peaches,Paris,2478525.96,5.404788,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CCY5,Peaches,Paris,2478525.96,5.404788,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CEV9,Peaches,Paris,7552256.25,5.95656,0,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CEV9,Peaches,Paris,7552256.25,5.95656,0,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CFJ5,Peaches,Paris,2434863.46,6.070752,0.21456,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CFJ5,Peaches,Paris,2434863.46,6.070752,0.21456,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,74274RXJ3,Pineapples,Paris,7644274.24,1.347636,49.23054,GEA_BM,NEABMNCIM,Active,1
2024-01-04,74274RXJ3,Pineapples,Paris,7644274.24,1.347636,49.23054,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CHT1,Peaches,Paris,1407518.34,9.407856,2.81493,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CHT1,Peaches,Paris,1407518.34,9.407856,2.81493,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,125094XC6,Lemons,Paris,319208.48,12.701856,81.09504,GEA_BM,NEABMNCIM,Active,1
2024-01-04,125094XC6,Lemons,Paris,319208.48,12.701856,81.09504,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,3130XQUT8,Pineapples,Paris,4228099.54,3.33486,15.77871,GEA_BM,NEABMNCIM,Active,1
2024-01-04,3130XQUT8,Pineapples,Paris,4228099.54,3.33486,15.77871,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CGS4,Peaches,Paris,6654019.38,6.566652,0.76185,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CGS4,Peaches,Paris,6654019.38,6.566652,0.76185,GEA_BM,NEABMNCIM,Passive,1
2024-01-04,91282CGZ1,Peaches,Paris,8341799.28,6.353112,0.42885,GEA_BM,NEABMNCIM,Active,1
2024-01-04,91282CGZ1,Peaches,Paris,8341799.28,6.353112,0.42885,GEA_BM,NEABMNCIM,Passive,1
